Five9 Quarterly Net Income (Millions of US $),Five9 Quarterly Net Income (Millions of US $).1
2024-06-30,$-13
2024-03-31,$-7
2023-12-31,$-12
2023-09-30,$-20
2023-06-30,$-22
2023-03-31,$-27
2022-12-31,$-14
2022-09-30,$-23
2022-06-30,$-24
2022-03-31,$-34
2021-12-31,$-4
2021-09-30,$-21
2021-06-30,$-17
2021-03-31,$-12
2020-12-31,$-7
2020-09-30,$-11
2020-06-30,$-16
2020-03-31,$-7
2019-12-31,$1
2019-09-30,$-2
2019-06-30,$-2
2019-03-31,$-2
2018-12-31,$4
2018-09-30,$-1
2018-06-30,$-2
2018-03-31,$-1
2017-12-31,$-1
2017-09-30,$1
2017-06-30,$-4
2017-03-31,$-5
2016-12-31,$0
2016-09-30,$-4
2016-06-30,$-3
2016-03-31,$-5
2015-12-31,$-4
2015-09-30,$-6
2015-06-30,$-7
2015-03-31,$-9
2014-12-31,$-9
2014-09-30,$-11
2014-06-30,$-9
2014-03-31,$-8
2013-12-31,$-9
2013-09-30,$-8
2013-06-30,$-8
2013-03-31,$-7
2012-12-31,
2011-12-31,
