Capital Clean Energy Carriers Quarterly Net Income (Millions of US $),Capital Clean Energy Carriers Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$34
2023-12-31,$13
2023-09-30,$16
2023-06-30,$7
2023-03-31,$10
2022-12-31,$20
2022-09-30,$56
2022-06-30,$19
2022-03-31,$24
2021-12-31,$38
2021-09-30,$11
2021-06-30,$34
2021-03-31,$11
2020-12-31,$8
2020-09-30,$8
2020-06-30,$8
2020-03-31,$7
2019-12-31,$6
2019-09-30,$3
2019-06-30,$8
2019-03-31,$-139
2018-12-31,$13
2018-09-30,$-23
2018-06-30,$4
2018-03-31,$5
2017-12-31,$4
2017-09-30,$7
2017-06-30,$7
2017-03-31,$9
2016-12-31,$11
2016-09-30,$9
2016-06-30,$12
2016-03-31,$9
2015-12-31,$12
2015-09-30,$11
2015-06-30,$11
2015-03-31,$9
2014-12-31,$10
2014-09-30,$8
2014-06-30,$4
2014-03-31,$7
2013-12-31,$-2
2013-09-30,$28
2013-06-30,$33
2013-03-31,$19
2012-12-31,$-38
2012-09-30,$4
2012-06-30,$-1
2012-03-31,$3
2011-12-31,$1
2011-09-30,$67
2011-06-30,$15
2011-03-31,$2
2010-12-31,$2
2010-09-30,$4
2010-06-30,$5
2010-03-31,$7
2009-12-31,$5
2009-09-30,$7
2009-06-30,$8
2009-03-31,$9
