Air Lease Quarterly Net Income (Millions of US $),Air Lease Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$97
2023-12-31,$211
2023-09-30,$122
2023-06-30,$122
2023-03-31,$118
2022-12-31,$135
2022-09-30,$100
2022-06-30,$106
2022-03-31,$-479
2021-12-31,$142
2021-09-30,$100
2021-06-30,$86
2021-03-31,$80
2020-12-31,$107
2020-09-30,$117
2020-06-30,$144
2020-03-31,$133
2019-12-31,$161
2019-09-30,$152
2019-06-30,$124
2019-03-31,$138
2018-12-31,$138
2018-09-30,$147
2018-06-30,$115
2018-03-31,$111
2017-12-31,$471
2017-09-30,$99
2017-06-30,$101
2017-03-31,$85
2016-12-31,$97
2016-09-30,$93
2016-06-30,$92
2016-03-31,$93
2015-12-31,$81
2015-09-30,$77
2015-06-30,$76
2015-03-31,$19
2014-12-31,$70
2014-09-30,$62
2014-06-30,$62
2014-03-31,$61
2013-12-31,$59
2013-09-30,$49
2013-06-30,$43
2013-03-31,$40
2012-12-31,$40
2012-09-30,$37
2012-06-30,$28
2012-03-31,$27
2011-12-31,$25
2011-09-30,$18
2011-06-30,$7
2011-03-31,$3
2010-12-31,$-3
2010-09-30,$-8
2010-06-30,$-41
2010-03-31,$-0
