BWX Technologies Quarterly Net Income (Millions of US $),BWX Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$73
2024-03-31,$68
2023-12-31,$66
2023-09-30,$60
2023-06-30,$59
2023-03-31,$61
2022-12-31,$43
2022-09-30,$62
2022-06-30,$75
2022-03-31,$59
2021-12-31,$117
2021-09-30,$60
2021-06-30,$59
2021-03-31,$70
2020-12-31,$66
2020-09-30,$73
2020-06-30,$64
2020-03-31,$75
2019-12-31,$61
2019-09-30,$75
2019-06-30,$59
2019-03-31,$49
2018-12-31,$22
2018-09-30,$78
2018-06-30,$61
2018-03-31,$66
2017-12-31,$-16
2017-09-30,$47
2017-06-30,$61
2017-03-31,$56
2016-12-31,$34
2016-09-30,$41
2016-06-30,$58
2016-03-31,$50
2015-12-31,$-1
2015-09-30,$104
2015-06-30,$-17
2015-03-31,$45
2014-12-31,$-103
2014-09-30,$61
2014-06-30,$26
2014-03-31,$45
2013-12-31,$166
2013-09-30,$60
2013-06-30,$73
2013-03-31,$47
2012-12-31,$39
2012-09-30,$51
2012-06-30,$77
2012-03-31,$60
2011-12-31,$-27
2011-09-30,$46
2011-06-30,$46
2011-03-31,$14
2010-12-31,$40
2010-09-30,$36
2010-06-30,$48
2010-03-31,$17
2009-12-31,
2009-09-30,$26
2009-06-30,$48
