Howmet Aerospace Quarterly Net Income (Millions of US $),Howmet Aerospace Quarterly Net Income (Millions of US $).1
2024-06-30,$266
2024-03-31,$242
2023-12-31,$236
2023-09-30,$187
2023-06-30,$193
2023-03-31,$147
2022-12-31,$111
2022-09-30,$79
2022-06-30,$147
2022-03-31,$130
2021-12-31,$77
2021-09-30,$26
2021-06-30,$74
2021-03-31,$79
2020-12-31,$106
2020-09-30,$35
2020-06-30,$-96
2020-03-31,$214
2019-12-31,$309
2019-09-30,$94
2019-06-30,$-121
2019-03-31,$186
2018-12-31,$218
2018-09-30,$160
2018-06-30,$120
2018-03-31,$142
2017-12-31,$-727
2017-09-30,$101
2017-06-30,$194
2017-03-31,$305
2016-12-31,"$-1,248"
2016-09-30,$148
2016-06-30,$118
2016-03-31,$-2
2015-12-31,$-500
2015-09-30,$26
2015-06-30,$123
2015-03-31,$178
2014-12-31,$159
2014-09-30,$149
2014-06-30,$138
2014-03-31,$-179
2013-12-31,"$-2,339"
2013-09-30,$23
2013-06-30,$-119
2013-03-31,$148
2012-12-31,$242
2012-09-30,$-144
2012-06-30,$-2
2012-03-31,$93
2011-12-31,$-190
2011-09-30,$171
2011-06-30,$322
2011-03-31,$308
2010-12-31,$263
2010-09-30,$61
2010-06-30,$136
2010-03-31,$-201
2009-12-31,$-277
2009-09-30,$77
2009-06-30,$-454
2009-03-31,$-497
