Tenable Holdings Quarterly Net Income (Millions of US $),Tenable Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-15
2024-03-31,$-14
2023-12-31,$-22
2023-09-30,$-16
2023-06-30,$-16
2023-03-31,$-25
2022-12-31,$-21
2022-09-30,$-19
2022-06-30,$-27
2022-03-31,$-25
2021-12-31,$-11
2021-09-30,$-16
2021-06-30,$-12
2021-03-31,$-8
2020-12-31,$-2
2020-09-30,$-6
2020-06-30,$-12
2020-03-31,$-23
2019-12-31,$-38
2019-09-30,$-18
2019-06-30,$-22
2019-03-31,$-21
2018-12-31,$-20
2018-09-30,$-21
2018-06-30,$-17
2018-03-31,$-16
2017-12-31,
2017-09-30,$-12
2017-06-30,$-9
2016-12-31,
