IQIYI Quarterly Net Income (Millions of US $),IQIYI Quarterly Net Income (Millions of US $).1
2024-06-30,$9
2024-03-31,$92
2023-12-31,$63
2023-09-30,$66
2023-06-30,$52
2023-03-31,$90
2022-12-31,$44
2022-09-30,$-58
2022-06-30,$-32
2022-03-31,$27
2021-12-31,$-290
2021-09-30,$-268
2021-06-30,$-217
2021-03-31,$-196
2020-12-31,$-294
2020-09-30,$-170
2020-06-30,$-204
2020-03-31,$-412
2019-12-31,$-347
2019-09-30,$-526
2019-06-30,$-341
2019-03-31,$-269
2018-12-31,$-469
2018-09-30,$-462
2018-06-30,$-331
2018-03-31,$-108
