Graphic Packaging Holding Quarterly Net Income (Millions of US $),Graphic Packaging Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$190
2024-03-31,$165
2023-12-31,$196
2023-09-30,$170
2023-06-30,$150
2023-03-31,$207
2022-12-31,$156
2022-09-30,$193
2022-06-30,$66
2022-03-31,$107
2021-12-31,$39
2021-09-30,$73
2021-06-30,$38
2021-03-31,$54
2020-12-31,$64
2020-09-30,$64
2020-06-30,$52
2020-03-31,$-13
2019-12-31,$33
2019-09-30,$52
2019-06-30,$64
2019-03-31,$58
2018-12-31,$48
2018-09-30,$94
2018-06-30,$49
2018-03-31,$30
2017-12-31,$174
2017-09-30,$47
2017-06-30,$42
2017-03-31,$37
2016-12-31,$35
2016-09-30,$58
2016-06-30,$78
2016-03-31,$58
2015-12-31,$57
2015-09-30,$60
2015-06-30,$58
2015-03-31,$55
2014-12-31,$42
2014-09-30,$53
2014-06-30,$-40
2014-03-31,$35
2013-12-31,$46
2013-09-30,$45
2013-06-30,$21
2013-03-31,$35
2012-12-31,$23
2012-09-30,$40
2012-06-30,$42
2012-03-31,$17
2011-12-31,$266
2011-09-30,$-48
2011-06-30,$32
2011-03-31,$27
2010-12-31,$20
2010-09-30,$18
2010-06-30,$-33
2010-03-31,$6
2009-12-31,$32
2009-09-30,$33
2009-06-30,$20
2009-03-31,$-28
