Frontier Communications Parent Quarterly Net Income (Millions of US $),Frontier Communications Parent Quarterly Net Income (Millions of US $).1
2024-06-30,$-123
2024-03-31,$1
2023-12-31,$17
2023-09-30,$11
2023-06-30,$-2
2023-03-31,$3
2022-12-31,$155
2022-09-30,$120
2022-06-30,$101
2022-03-31,$65
2021-12-31,$189
2021-09-30,$126
2021-06-30,"$4,580"
2021-03-31,$60
2020-12-31,$-50
2020-09-30,$15
2020-06-30,$-181
2020-03-31,$-186
2019-12-31,$-162
2019-09-30,$-345
2019-06-30,"$-5,317"
2019-03-31,$-87
2018-12-31,$-219
2018-09-30,$-426
2018-06-30,$-72
2018-03-31,$-33
2017-12-31,"$-1,082"
2017-09-30,$-92
2017-06-30,$-715
2017-03-31,$-129
2016-12-31,$-133
2016-09-30,$-134
2016-06-30,$-80
2016-03-31,$-240
2015-12-31,$-156
2015-09-30,$-81
2015-06-30,$-28
2015-03-31,$-51
2014-12-31,$14
2014-09-30,$42
2014-06-30,$38
2014-03-31,$39
2013-12-31,$68
2013-09-30,$35
2013-06-30,$-38
2013-03-31,$48
2012-12-31,$25
2012-09-30,$67
2012-06-30,$18
2012-03-31,$27
2011-12-31,$42
2011-09-30,$20
2011-06-30,$32
2011-03-31,$55
2010-12-31,$46
2010-09-30,$29
2010-06-30,$35
2010-03-31,$43
2009-12-31,$4
2009-09-30,$52
2009-06-30,$28
2009-03-31,$36
