Petroleo Brasileiro S.A.- Petrobras Quarterly Net Income (Millions of US $),Petroleo Brasileiro S.A.- Petrobras Quarterly Net Income (Millions of US $).1
2024-06-30,$-344
2024-03-31,"$4,782"
2023-12-31,"$6,259"
2023-09-30,"$5,456"
2023-06-30,"$5,828"
2023-03-31,"$7,341"
2022-12-31,"$8,245"
2022-09-30,"$8,763"
2022-06-30,"$11,010"
2022-03-31,"$8,605"
2021-12-31,"$5,636"
2021-09-30,"$5,938"
2021-03-31,$180
2020-09-30,$-236
2020-03-31,"$-9,715"
2019-12-31,"$4,268"
2019-09-30,$2
2019-06-30,"$4,811"
2019-03-31,"$1,070"
2018-12-31,$551
2018-09-30,"$1,683"
2018-06-30,"$2,794"
2018-03-31,"$2,145"
2017-12-31,"$-1,687"
2017-09-30,$83
2017-06-30,$96
2017-03-31,"$1,417"
2016-12-31,$754
2016-09-30,"$-5,380"
2016-06-30,$106
2016-03-31,$-318
2015-12-31,"$-9,421"
2015-09-30,"$-1,062"
2015-06-30,$171
2015-03-31,"$1,862"
2014-12-31,"$-9,722"
2014-09-30,"$-2,150"
2014-06-30,"$2,225"
2014-03-31,"$2,280"
2013-12-31,"$2,760"
2013-09-30,"$1,484"
2013-06-30,"$2,996"
2013-03-31,"$3,854"
2012-12-31,"$3,763"
2012-09-30,"$2,744"
2012-06-30,$-685
2012-03-31,"$5,212"
2011-12-31,"$2,805"
2011-09-30,"$3,871"
2011-06-30,"$6,857"
2011-03-31,"$6,588"
2010-12-31,"$6,767"
2010-09-30,"$4,725"
2010-06-30,"$4,246"
2010-03-31,"$4,317"
2009-12-31,"$4,947"
2009-09-30,"$3,734"
2009-06-30,"$3,991"
2009-03-31,"$2,636"
