Byline Bancorp Quarterly Net Income (Millions of US $),Byline Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$30
2023-12-31,$30
2023-09-30,$28
2023-06-30,$26
2023-03-31,$24
2022-12-31,$23
2022-09-30,$23
2022-06-30,$20
2022-03-31,$22
2021-12-31,$17
2021-09-30,$25
2021-06-30,$28
2021-03-31,$22
2020-12-31,$12
2020-09-30,$13
2020-06-30,$9
2020-03-31,$3
2019-12-31,$16
2019-09-30,$15
2019-06-30,$13
2019-03-31,$12
2018-12-31,$17
2018-09-30,$14
2018-06-30,$3
2018-03-31,$7
2017-12-31,$-1
2017-09-30,$10
2017-06-30,$-5
2017-03-31,$6
2016-12-31,
2016-09-30,$2
2016-06-30,$3
2015-12-31,
