Myriad Genetics Quarterly Net Income (Millions of US $),Myriad Genetics Quarterly Net Income (Millions of US $).1
2024-06-30,$-37
2024-03-31,$-26
2023-12-31,$-31
2023-09-30,$-61
2023-06-30,$-116
2023-03-31,$-55
2022-12-31,$-42
2022-09-30,$-35
2022-06-30,$-14
2022-03-31,$-21
2021-12-31,$-8
2021-09-30,$25
2021-06-30,$-5
2021-03-31,$-40
2020-12-31,
2020-09-30,$-15
2020-06-30,$-55
2020-03-31,$-115
2019-12-31,$-8
2019-09-30,$-21
2019-06-30,
2019-03-31,$7
2018-12-31,$3
2018-09-30,$-1
2018-06-30,
2018-03-31,$9
2017-12-31,$31
2017-09-30,$79
2017-06-30,
2017-03-31,$4
2016-12-31,$6
2016-09-30,$-1
2016-06-30,
2016-03-31,$35
2015-12-31,$37
2015-09-30,$30
2015-06-30,
2015-03-31,$21
2014-12-31,$24
2014-09-30,$16
2014-06-30,
2014-03-31,$37
2013-12-31,$50
2013-09-30,$55
2013-06-30,
2013-03-31,$38
2012-12-31,$35
2012-09-30,$30
2012-06-30,
2012-03-31,$30
2011-12-31,$28
2011-09-30,$25
2011-06-30,
2011-03-31,$28
2010-12-31,$24
2010-09-30,$23
2010-06-30,
2010-03-31,$33
2009-12-31,$35
2009-09-30,$30
2009-06-30,
2009-03-31,$25
