Steven Madden Quarterly Net Income (Millions of US $),Steven Madden Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$44
2023-12-31,$36
2023-09-30,$64
2023-06-30,$35
2023-03-31,$37
2022-12-31,$32
2022-09-30,$61
2022-06-30,$48
2022-03-31,$75
2021-12-31,$66
2021-09-30,$67
2021-06-30,$37
2021-03-31,$21
2020-12-31,$23
2020-09-30,$-7
2020-06-30,$-17
2020-03-31,$-17
2019-12-31,$18
2019-09-30,$52
2019-06-30,$37
2019-03-31,$35
2018-12-31,$12
2018-09-30,$56
2018-06-30,$32
2018-03-31,$29
2017-12-31,$25
2017-09-30,$44
2017-06-30,$29
2017-03-31,$20
2016-12-31,$29
2016-09-30,$44
2016-06-30,$25
2016-03-31,$24
2015-12-31,$26
2015-09-30,$43
2015-06-30,$25
2015-03-31,$20
2014-12-31,$21
2014-09-30,$39
2014-06-30,$28
2014-03-31,$24
2013-12-31,$36
2013-09-30,$44
2013-06-30,$29
2013-03-31,$23
2012-12-31,$33
2012-09-30,$38
2012-06-30,$27
2012-03-31,$22
2011-12-31,$24
2011-09-30,$32
2011-06-30,$24
2011-03-31,$18
2010-12-31,$18
2010-09-30,$23
2010-06-30,$20
2010-03-31,$15
2009-12-31,$14
2009-09-30,$18
2009-06-30,$12
2009-03-31,$7
