UiPath Quarterly Net Income (Millions of US $),UiPath Quarterly Net Income (Millions of US $).1
2024-07-31,$-86
2024-04-30,$-29
2024-01-31,$34
2023-10-31,$-32
2023-07-31,$-60
2023-04-30,$-32
2023-01-31,$-28
2022-10-31,$-58
2022-07-31,$-120
2022-04-30,$-123
2022-01-31,$-63
2021-10-31,$-123
2021-07-31,$-100
2021-04-30,$-240
2021-01-31,$26
2020-10-31,$-71
2020-07-31,$0
2020-04-30,$-53
2020-01-31,
