IPG Photonics Quarterly Net Income (Millions of US $),IPG Photonics Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$24
2023-12-31,$41
2023-09-30,$55
2023-06-30,$62
2023-03-31,$60
2022-12-31,$-93
2022-09-30,$76
2022-06-30,$57
2022-03-31,$70
2021-12-31,$65
2021-09-30,$75
2021-06-30,$70
2021-03-31,$68
2020-12-31,$49
2020-09-30,$36
2020-06-30,$38
2020-03-31,$36
2019-12-31,$-4
2019-09-30,$57
2019-06-30,$72
2019-03-31,$55
2018-12-31,$76
2018-09-30,$101
2018-06-30,$122
2018-03-31,$106
2017-12-31,$53
2017-09-30,$116
2017-06-30,$104
2017-03-31,$75
2016-12-31,$75
2016-09-30,$69
2016-06-30,$67
2016-03-31,$49
2015-12-31,$61
2015-09-30,$63
2015-06-30,$61
2015-03-31,$57
2014-12-31,$56
2014-09-30,$55
2014-06-30,$48
2014-03-31,$41
2013-12-31,$37
2013-09-30,$42
2013-06-30,$42
2013-03-31,$35
2012-12-31,$35
2012-09-30,$42
2012-06-30,$38
2012-03-31,$30
2011-12-31,$32
2011-09-30,$32
2011-06-30,$31
2011-03-31,$23
2010-12-31,$27
2010-09-30,$13
2010-06-30,$10
2010-03-31,$3
2009-12-31,$3
2009-09-30,$2
2009-06-30,$-1
2009-03-31,$1
