Vishay Intertechnology Quarterly Net Income (Millions of US $),Vishay Intertechnology Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$31
2023-12-31,$51
2023-09-30,$66
2023-06-30,$95
2023-03-31,$112
2022-12-31,$73
2022-09-30,$140
2022-06-30,$112
2022-03-31,$104
2021-12-31,$37
2021-09-30,$97
2021-06-30,$93
2021-03-31,$71
2020-12-31,$38
2020-09-30,$33
2020-06-30,$25
2020-03-31,$27
2019-12-31,$14
2019-09-30,$30
2019-06-30,$44
2019-03-31,$75
2018-12-31,$102
2018-09-30,$78
2018-06-30,$103
2018-03-31,$62
2017-12-31,$-178
2017-09-30,$64
2017-06-30,$56
2017-03-31,$37
2016-12-31,$-49
2016-09-30,$36
2016-06-30,$33
2016-03-31,$28
2015-12-31,$-138
2015-09-30,$-28
2015-06-30,$26
2015-03-31,$31
2014-12-31,$29
2014-09-30,$27
2014-06-30,$36
2014-03-31,$26
2013-12-31,$30
2013-09-30,$33
2013-06-30,$31
2013-03-31,$29
2012-12-31,$21
2012-09-30,$22
2012-06-30,$46
2012-03-31,$34
2011-12-31,$31
2011-09-30,$50
2011-06-30,$82
2011-03-31,$75
2010-12-31,$147
2010-09-30,$90
2010-06-30,$77
2010-03-31,$45
2009-12-31,$28
2009-09-30,$2
2009-06-30,$-59
2009-03-31,$-29
