HubSpot Quarterly Net Income (Millions of US $),HubSpot Quarterly Net Income (Millions of US $).1
2024-06-30,$-14
2024-03-31,$6
2023-12-31,$-22
2023-09-30,$-5
2023-06-30,$-112
2023-03-31,$-37
2022-12-31,$-16
2022-09-30,$-31
2022-06-30,$-56
2022-03-31,$-9
2021-12-31,$-16
2021-09-30,$-14
2021-06-30,$-25
2021-03-31,$-23
2020-12-31,$-15
2020-09-30,$-22
2020-06-30,$-29
2020-03-31,$-18
2019-12-31,$-10
2019-09-30,$-15
2019-06-30,$-17
2019-03-31,$-11
2018-12-31,$-11
2018-09-30,$-19
2018-06-30,$-18
2018-03-31,$-15
2017-12-31,$-12
2017-09-30,$-11
2017-06-30,$-10
2017-03-31,$-8
2016-12-31,$-14
2016-09-30,$-11
2016-06-30,$-11
2016-03-31,$-10
2015-12-31,$-10
2015-09-30,$-14
2015-06-30,$-11
2015-03-31,$-11
2014-12-31,$-20
2014-09-30,$-11
2014-06-30,$-8
2014-03-31,$-9
2013-12-31,
2013-09-30,$-10
2012-12-31,
2011-12-31,
