American Homes 4 Rent Quarterly Net Income (Millions of US $),American Homes 4 Rent Quarterly Net Income (Millions of US $).1
2024-06-30,$92
2024-03-31,$109
2023-12-31,$77
2023-09-30,$74
2023-06-30,$98
2023-03-31,$117
2022-12-31,$88
2022-09-30,$51
2022-06-30,$57
2022-03-31,$56
2021-12-31,$48
2021-09-30,$37
2021-06-30,$20
2021-03-31,$30
2020-12-31,$27
2020-09-30,$23
2020-06-30,$15
2020-03-31,$20
2019-12-31,$24
2019-09-30,$24
2019-06-30,$23
2019-03-31,$16
2018-12-31,$18
2018-09-30,$15
2018-06-30,$-15
2018-03-31,$6
2017-12-31,$-22
2017-09-30,$2
2017-06-30,$-0
2017-03-31,$-1
2016-12-31,$2
2016-09-30,$-21
2016-06-30,$-10
2016-03-31,$-4
2015-12-31,$-20
2015-09-30,$-29
2015-06-30,$-18
2015-03-31,$-18
2014-12-31,$-19
2014-09-30,$-22
2014-06-30,$-12
2014-03-31,$-14
2013-12-31,$-15
2013-09-30,$-8
2013-06-30,$-14
2013-03-31,$-8
2012-12-31,$-6
2012-09-30,$-3
2012-06-30,$-2
2012-03-31,$-0
2011-12-31,
