Quaker Houghton Quarterly Net Income (Millions of US $),Quaker Houghton Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$35
2023-12-31,$21
2023-09-30,$34
2023-06-30,$29
2023-03-31,$29
2022-12-31,$-76
2022-09-30,$26
2022-06-30,$14
2022-03-31,$20
2021-12-31,$19
2021-09-30,$31
2021-06-30,$33
2021-03-31,$38
2020-12-31,$48
2020-09-30,$27
2020-06-30,$-8
2020-03-31,$-28
2019-12-31,$15
2019-09-30,$-13
2019-06-30,$16
2019-03-31,$14
2018-12-31,$8
2018-09-30,$20
2018-06-30,$19
2018-03-31,$13
2017-12-31,$-10
2017-09-30,$11
2017-06-30,$12
2017-03-31,$7
2016-12-31,$17
2016-09-30,$16
2016-06-30,$15
2016-03-31,$13
2015-12-31,$11
2015-09-30,$14
2015-06-30,$15
2015-03-31,$10
2014-12-31,$13
2014-09-30,$16
2014-06-30,$15
2014-03-31,$13
2013-12-31,$14
2013-09-30,$12
2013-06-30,$16
2013-03-31,$14
2012-12-31,$13
2012-09-30,$11
2012-06-30,$11
2012-03-31,$12
2011-12-31,$12
2011-09-30,$13
2011-06-30,$10
2011-03-31,$10
2010-12-31,$7
2010-09-30,$6
2010-06-30,$9
2010-03-31,$9
2009-12-31,$8
2009-09-30,$5
2009-06-30,$3
2009-03-31,$0
