Exact Sciences Quarterly Net Income (Millions of US $),Exact Sciences Quarterly Net Income (Millions of US $).1
2024-06-30,$-16
2024-03-31,$-110
2023-12-31,$-50
2023-09-30,$1
2023-06-30,$-81
2023-03-31,$-74
2022-12-31,$-128
2022-09-30,$-149
2022-06-30,$-166
2022-03-31,$-181
2021-12-31,$-221
2021-09-30,$-167
2021-06-30,$-177
2021-03-31,$-31
2020-12-31,$-418
2020-09-30,$-203
2020-06-30,$-68
2020-03-31,$-135
2019-12-31,$-51
2019-09-30,$-41
2019-06-30,$-39
2019-03-31,$-83
2018-12-31,$-54
2018-09-30,$-45
2018-06-30,$-36
2018-03-31,$-39
2017-12-31,$-22
2017-09-30,$-27
2017-06-30,$-31
2017-03-31,$-35
2016-12-31,$-37
2016-09-30,$-38
2016-06-30,$-45
2016-03-31,$-47
2015-12-31,$-40
2015-09-30,$-43
2015-06-30,$-39
2015-03-31,$-36
2014-12-31,$-32
2014-09-30,$-32
2014-06-30,$-19
2014-03-31,$-16
2013-12-31,$-12
2013-09-30,$-11
2013-06-30,$-12
2013-03-31,$-11
2012-12-31,$-14
2012-09-30,$-13
2012-06-30,$-15
2012-03-31,$-11
2011-12-31,$-10
2011-09-30,$-8
2011-06-30,$-7
2011-03-31,$-4
2010-12-31,$-4
2010-09-30,$-3
2010-06-30,$-2
2010-03-31,$-2
2009-12-31,$-2
2009-09-30,$-1
2009-06-30,$-2
2009-03-31,$-4
