Main Street Capital Quarterly Net Income (Millions of US $),Main Street Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$103
2024-03-31,$107
2023-12-31,$139
2023-09-30,$103
2023-06-30,$107
2023-03-31,$80
2022-12-31,$106
2022-09-30,$55
2022-06-30,$15
2022-03-31,$65
2021-12-31,$94
2021-09-30,$84
2021-06-30,$95
2021-03-31,$57
2020-12-31,$79
2020-09-30,$78
2020-06-30,$43
2020-03-31,$-171
2019-12-31,$16
2019-09-30,$34
2019-06-30,$38
2019-03-31,$41
2018-12-31,$10
2018-09-30,$69
2018-06-30,$55
2018-03-31,$35
2017-12-31,$61
2017-09-30,$35
2017-06-30,$43
2017-03-31,$31
2016-12-31,$48
2016-09-30,$43
2016-06-30,$31
2016-03-31,$17
2015-12-31,$8
2015-09-30,$21
2015-06-30,$41
2015-03-31,$35
2014-12-31,$22
2014-09-30,$22
2014-06-30,$30
2014-03-31,$27
2013-12-31,$21
2013-09-30,$28
2013-06-30,$24
2013-03-31,$24
2012-12-31,$24
2012-09-30,$32
2012-06-30,$24
2012-03-31,$24
2011-12-31,$21
2011-09-30,$14
2011-06-30,$18
2011-03-31,$10
2010-12-31,$10
2010-09-30,$11
2010-06-30,$9
2010-03-31,$9
2009-12-31,$2
2009-09-30,$7
2009-06-30,$4
2009-03-31,$-0
