Realty Income Quarterly Net Income (Millions of US $),Realty Income Quarterly Net Income (Millions of US $).1
2024-06-30,$257
2024-03-31,$130
2023-12-31,$218
2023-09-30,$233
2023-06-30,$195
2023-03-31,$225
2022-12-31,$227
2022-09-30,$220
2022-06-30,$223
2022-03-31,$199
2021-12-31,$4
2021-09-30,$135
2021-06-30,$124
2021-03-31,$96
2020-12-31,$118
2020-09-30,$23
2020-06-30,$108
2020-03-31,$147
2019-12-31,$129
2019-09-30,$101
2019-06-30,$95
2019-03-31,$111
2018-12-31,$85
2018-09-30,$99
2018-06-30,$96
2018-03-31,$83
2017-12-31,$61
2017-09-30,$88
2017-06-30,$81
2017-03-31,$72
2016-12-31,$86
2016-09-30,$70
2016-06-30,$69
2016-03-31,$63
2015-12-31,$76
2015-09-30,$61
2015-06-30,$59
2015-03-31,$60
2014-12-31,$71
2014-09-30,$58
2014-06-30,$51
2014-03-31,$47
2013-12-31,$54
2013-09-30,$41
2013-06-30,$46
2013-03-31,$63
2012-12-31,$29
2012-09-30,$27
2012-06-30,$33
2012-03-31,$26
2011-12-31,$35
2011-09-30,$35
2011-06-30,$33
2011-03-31,$30
2010-12-31,$32
2010-09-30,$26
2010-06-30,$25
2010-03-31,$24
2009-12-31,$29
2009-09-30,$27
2009-06-30,$26
2009-03-31,$24
