Atlantica Sustainable Infrastructure Quarterly Net Income (Millions of US $),Atlantica Sustainable Infrastructure Quarterly Net Income (Millions of US $).1
2024-06-30,$21
2024-03-31,$-5
2023-12-31,$-3
2023-09-30,$21
2023-06-30,$36
2023-03-31,$-11
2022-12-31,$4
2022-09-30,$-14
2022-06-30,$16
2022-03-31,$-12
2021-12-31,$-12
2021-09-30,$-11
2021-06-30,$12
2021-03-31,$-19
2020-12-31,$-49
2020-09-30,$89
2020-06-30,$12
2020-03-31,$-41
2019-12-31,$1
2019-09-30,$44
2019-06-30,$26
2019-03-31,$-9
2018-12-31,$-79
2018-09-30,$53
2018-06-30,$72
2018-03-31,$-5
2017-12-31,$-154
2017-09-30,$30
2017-06-30,$24
2017-03-31,$-12
2016-12-31,$-15
2016-09-30,$33
2016-06-30,$3
2016-03-31,$-26
2015-12-31,$-234
2015-09-30,$26
2015-06-30,$13
2015-03-31,$-15
2014-12-31,$-18
2014-09-30,$43
2014-06-30,$-15
2014-03-31,$-14
2013-12-31,
