REV Quarterly Net Income (Millions of US $),REV Quarterly Net Income (Millions of US $).1
2024-07-31,$18
2024-04-30,$15
2024-01-31,$183
2023-10-31,$30
2023-07-31,$15
2023-04-30,$14
2023-01-31,$-14
2022-10-31,$9
2022-07-31,$10
2022-04-30,$-2
2022-01-31,$-1
2021-10-31,$0
2021-07-31,$24
2021-04-30,$21
2021-01-31,$0
2020-10-31,$-10
2020-07-31,$-4
2020-04-30,$-8
2020-01-31,$-9
2019-10-31,$-9
2019-07-31,$6
2019-04-30,$6
2019-01-31,$-15
2018-10-31,$-22
2018-07-31,$18
2018-04-30,$7
2018-01-31,$9
2017-10-31,$23
2017-07-31,$15
2017-04-30,$7
2017-01-31,$-13
2016-10-31,$12
2016-07-31,$13
2016-04-30,$8
2016-01-31,$-3
2015-10-31,
2014-10-31,
