Vulcan Materials Quarterly Net Income (Millions of US $),Vulcan Materials Quarterly Net Income (Millions of US $).1
2024-06-30,$308
2024-03-31,$103
2023-12-31,$227
2023-09-30,$277
2023-06-30,$309
2023-03-31,$121
2022-12-31,$119
2022-09-30,$177
2022-06-30,$187
2022-03-31,$92
2021-12-31,$138
2021-09-30,$177
2021-06-30,$195
2021-03-31,$161
2020-12-31,$115
2020-09-30,$200
2020-06-30,$210
2020-03-31,$60
2019-12-31,$141
2019-09-30,$216
2019-06-30,$198
2019-03-31,$63
2018-12-31,$124
2018-09-30,$179
2018-06-30,$160
2018-03-31,$53
2017-12-31,$328
2017-09-30,$109
2017-06-30,$120
2017-03-31,$45
2016-12-31,$113
2016-09-30,$142
2016-06-30,$125
2016-03-31,$40
2015-12-31,$89
2015-09-30,$124
2015-06-30,$48
2015-03-31,$-40
2014-12-31,$38
2014-09-30,$67
2014-06-30,$46
2014-03-31,$54
2013-12-31,$9
2013-09-30,$41
2013-06-30,$29
2013-03-31,$-55
2012-12-31,$3
2012-09-30,$14
2012-06-30,$-18
2012-03-31,$-52
2011-12-31,$-28
2011-09-30,$20
2011-06-30,$-8
2011-03-31,$-55
2010-12-31,$-47
2010-09-30,$13
2010-06-30,$-24
2010-03-31,$-39
2009-12-31,$-13
2009-09-30,$54
2009-06-30,$22
2009-03-31,$-33
