East West Bancorp Quarterly Net Income (Millions of US $),East West Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$288
2024-03-31,$285
2023-12-31,$239
2023-09-30,$288
2023-06-30,$312
2023-03-31,$322
2022-12-31,$337
2022-09-30,$295
2022-06-30,$258
2022-03-31,$238
2021-12-31,$218
2021-09-30,$225
2021-06-30,$225
2021-03-31,$205
2020-12-31,$164
2020-09-30,$160
2020-06-30,$99
2020-03-31,$145
2019-12-31,$188
2019-09-30,$171
2019-06-30,$150
2019-03-31,$164
2018-12-31,$173
2018-09-30,$171
2018-06-30,$172
2018-03-31,$187
2017-12-31,$85
2017-09-30,$133
2017-06-30,$118
2017-03-31,$170
2016-12-31,$111
2016-09-30,$110
2016-06-30,$103
2016-03-31,$108
2015-12-31,$92
2015-09-30,$94
2015-06-30,$99
2015-03-31,$100
2014-12-31,$95
2014-09-30,$92
2014-06-30,$84
2014-03-31,$74
2013-12-31,$72
2013-09-30,$73
2013-06-30,$72
2013-03-31,$70
2012-12-31,$71
2012-09-30,$69
2012-06-30,$68
2012-03-31,$66
2011-12-31,$64
2011-09-30,$61
2011-06-30,$59
2011-03-31,$54
2010-12-31,$32
2010-09-30,$40
2010-06-30,$30
2010-03-31,$19
2009-12-31,$254
2009-09-30,$-79
2009-06-30,$-116
2009-03-31,$-31
