Masco Quarterly Net Income (Millions of US $),Masco Quarterly Net Income (Millions of US $).1
2024-06-30,$258
2024-03-31,$215
2023-12-31,$191
2023-09-30,$249
2023-06-30,$263
2023-03-31,$205
2022-12-31,$111
2022-09-30,$220
2022-06-30,$278
2022-03-31,$233
2021-12-31,$135
2021-09-30,$219
2021-06-30,$-36
2021-03-31,$88
2020-12-31,$191
2020-09-30,$274
2020-06-30,$224
2020-03-31,$526
2019-12-31,$450
2019-09-30,$125
2019-06-30,$238
2019-03-31,$116
2018-12-31,$188
2018-09-30,$180
2018-06-30,$210
2018-03-31,$149
2017-12-31,$75
2017-09-30,$152
2017-06-30,$163
2017-03-31,$138
2016-12-31,$95
2016-09-30,$134
2016-06-30,$150
2016-03-31,$108
2015-12-31,$70
2015-09-30,$111
2015-06-30,$105
2015-03-31,$64
2014-12-31,$100
2014-09-30,$543
2014-06-30,$139
2014-03-31,$74
2013-12-31,$48
2013-09-30,$109
2013-06-30,$76
2013-03-31,$52
2012-12-31,$-86
2012-09-30,$14
2012-06-30,$-76
2012-03-31,$32
2011-12-31,$-574
2011-09-30,$35
2011-06-30,$7
2011-03-31,$-46
2010-12-31,"$-1,034"
2010-09-30,$-6
2010-06-30,$2
2010-03-31,$-8
2009-12-31,$-184
2009-09-30,$27
2009-06-30,$53
2009-03-31,$-82
