Navient Quarterly Net Income (Millions of US $),Navient Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$73
2023-12-31,$-28
2023-09-30,$79
2023-06-30,$66
2023-03-31,$111
2022-12-31,$105
2022-09-30,$105
2022-06-30,$180
2022-03-31,$255
2021-12-31,$-11
2021-09-30,$173
2021-06-30,$185
2021-03-31,$370
2020-12-31,$186
2020-09-30,$207
2020-06-30,$125
2020-03-31,$-106
2019-12-31,$171
2019-09-30,$145
2019-06-30,$153
2019-03-31,$128
2018-12-31,$72
2018-09-30,$114
2018-06-30,$83
2018-03-31,$126
2017-12-31,$-84
2017-09-30,$176
2017-06-30,$112
2017-03-31,$88
2016-12-31,$145
2016-09-30,$230
2016-06-30,$125
2016-03-31,$181
2015-12-31,$273
2015-09-30,$237
2015-06-30,$182
2015-03-31,$292
2014-12-31,$253
2014-09-30,$359
2014-06-30,$305
2014-03-31,$214
2013-12-31,$270
2013-09-30,$255
2013-06-30,$538
2013-03-31,$341
2012-12-31,
2011-12-31,
