Regency Centers Quarterly Net Income (Millions of US $),Regency Centers Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$106
2023-12-31,$86
2023-09-30,$89
2023-06-30,$87
2023-03-31,$97
2022-12-31,$95
2022-09-30,$88
2022-06-30,$105
2022-03-31,$195
2021-12-31,$68
2021-09-30,$117
2021-06-30,$95
2021-03-31,$81
2020-12-31,$38
2020-09-30,$13
2020-06-30,$19
2020-03-31,$-25
2019-12-31,$40
2019-09-30,$57
2019-06-30,$52
2019-03-31,$90
2018-12-31,$79
2018-09-30,$70
2018-06-30,$48
2018-03-31,$53
2017-12-31,$85
2017-09-30,$60
2017-06-30,$48
2017-03-31,$-33
2016-12-31,$56
2016-09-30,$5
2016-06-30,$35
2016-03-31,$48
2015-12-31,$18
2015-09-30,$54
2015-06-30,$32
2015-03-31,$25
2014-12-31,$74
2014-09-30,$48
2014-06-30,$25
2014-03-31,$19
2013-12-31,$46
2013-09-30,$35
2013-06-30,$32
2013-03-31,$16
2012-12-31,$-37
2012-09-30,$12
2012-06-30,$6
2012-03-31,$13
2011-12-31,$8
2011-09-30,$9
2011-06-30,$13
2011-03-31,$2
2010-12-31,$-38
2010-09-30,$8
2010-06-30,$8
2010-03-31,$11
2009-12-31,$29
2009-09-30,$-84
2009-06-30,$-17
2009-03-31,$20
