Invitation Home Quarterly Net Income (Millions of US $),Invitation Home Quarterly Net Income (Millions of US $).1
2024-06-30,$73
2024-03-31,$142
2023-12-31,$129
2023-09-30,$132
2023-06-30,$138
2023-03-31,$120
2022-12-31,$100
2022-09-30,$79
2022-06-30,$111
2022-03-31,$92
2021-12-31,$74
2021-09-30,$69
2021-06-30,$60
2021-03-31,$57
2020-12-31,$71
2020-09-30,$33
2020-06-30,$43
2020-03-31,$50
2019-12-31,$52
2019-09-30,$34
2019-06-30,$39
2019-03-31,$21
2018-12-31,$25
2018-09-30,$1
2018-06-30,$-14
2018-03-31,$-17
2017-12-31,$-46
2017-09-30,$-23
2017-06-30,$6
2017-03-31,$-42
2016-12-31,$-27
2016-09-30,$-22
2016-06-30,$-20
2016-03-31,$-10
2015-12-31,
2014-12-31,
