Service Quarterly Net Income (Millions of US $),Service Quarterly Net Income (Millions of US $).1
2024-06-30,$118
2024-03-31,$131
2023-12-31,$138
2023-09-30,$122
2023-06-30,$132
2023-03-31,$145
2022-12-31,$92
2022-09-30,$121
2022-06-30,$133
2022-03-31,$220
2021-12-31,$207
2021-09-30,$210
2021-06-30,$158
2021-03-31,$229
2020-12-31,$201
2020-09-30,$127
2020-06-30,$106
2020-03-31,$82
2019-12-31,$147
2019-09-30,$71
2019-06-30,$72
2019-03-31,$79
2018-12-31,$193
2018-09-30,$69
2018-06-30,$103
2018-03-31,$82
2017-12-31,$247
2017-09-30,$56
2017-06-30,$68
2017-03-31,$175
2016-12-31,$66
2016-09-30,$48
2016-06-30,$16
2016-03-31,$47
2015-12-31,$72
2015-09-30,$47
2015-06-30,$53
2015-03-31,$61
2014-12-31,$88
2014-09-30,$18
2014-06-30,$26
2014-03-31,$41
2013-12-31,$29
2013-09-30,$27
2013-06-30,$34
2013-03-31,$58
2012-12-31,$28
2012-09-30,$41
2012-06-30,$37
2012-03-31,$48
2011-12-31,$45
2011-09-30,$35
2011-06-30,$26
2011-03-31,$39
2010-12-31,$36
2010-09-30,$19
2010-06-30,$40
2010-03-31,$31
2009-12-31,$34
2009-09-30,$31
2009-06-30,$23
2009-03-31,$35
