Melco Resorts & Entertainment Quarterly Net Income (Millions of US $),Melco Resorts & Entertainment Quarterly Net Income (Millions of US $).1
2024-06-30,$21
2024-03-31,$15
2023-12-31,$-206
2023-09-30,$-16
2023-06-30,$-23
2023-03-31,$-81
2022-12-31,$-252
2022-09-30,$-244
2022-06-30,$-251
2022-03-31,$-183
2021-12-31,$-160
2021-09-30,$-233
2021-06-30,$-186
2021-03-31,$-233
2020-12-31,$-200
2020-09-30,$-332
2020-06-30,$-368
2020-03-31,$-364
2019-12-31,$68
2019-09-30,$83
2019-06-30,$102
2019-03-31,$120
2018-12-31,$115
2018-09-30,$11
2018-06-30,$57
2018-03-31,$157
2017-12-31,$81
2017-09-30,$116
2017-06-30,$36
2017-03-31,$113
2016-12-31,$43
2016-09-30,$62
2016-06-30,$31
2016-03-31,$40
2015-12-31,$-12
2015-09-30,$33
2015-06-30,$24
2015-03-31,$61
2014-12-31,$93
2014-09-30,$132
2014-06-30,$144
2014-03-31,$240
2013-12-31,$223
2013-09-30,$179
2013-06-30,$181
2013-03-31,$54
2012-12-31,$108
2012-09-30,$105
2012-06-30,$82
2012-03-31,$122
2011-12-31,$108
2011-09-30,$113
2011-06-30,$67
2011-03-31,$7
2010-12-31,$16
2010-09-30,$16
2010-06-30,$-30
2010-03-31,$-12
2009-12-31,$-90
2009-09-30,$-39
2009-06-30,$-144
2009-03-31,$-35
