Rush Enterprises Quarterly Net Income (Millions of US $),Rush Enterprises Quarterly Net Income (Millions of US $).1
2024-06-30,$79
2024-03-31,$72
2023-12-31,$78
2023-09-30,$80
2023-06-30,$98
2023-03-31,$90
2022-12-31,$98
2022-09-30,$90
2022-06-30,$110
2022-03-31,$92
2021-12-31,$69
2021-09-30,$69
2021-06-30,$58
2021-03-31,$45
2020-12-31,$41
2020-09-30,$34
2020-06-30,$17
2020-03-31,$23
2019-12-31,$24
2019-09-30,$39
2019-06-30,$42
2019-03-31,$37
2018-12-31,$47
2018-09-30,$42
2018-06-30,$29
2018-03-31,$21
2017-12-31,$106
2017-09-30,$30
2017-06-30,$22
2017-03-31,$14
2016-12-31,$12
2016-09-30,$15
2016-06-30,$11
2016-03-31,$2
2015-12-31,$10
2015-09-30,$20
2015-06-30,$20
2015-03-31,$17
2014-12-31,$25
2014-09-30,$23
2014-06-30,$20
2014-03-31,$12
2013-12-31,$15
2013-09-30,$15
2013-06-30,$6
2013-03-31,$14
2012-12-31,$14
2012-09-30,$15
2012-06-30,$17
2012-03-31,$16
2011-12-31,$19
2011-09-30,$16
2011-06-30,$13
2011-03-31,$7
2010-12-31,$9
2010-09-30,$14
2010-06-30,$6
2010-03-31,$2
2009-12-31,$2
2009-09-30,$3
2009-06-30,$-2
2009-03-31,$3
