Waste Connections Quarterly Net Income (Millions of US $),Waste Connections Quarterly Net Income (Millions of US $).1
2024-06-30,$275
2024-03-31,$230
2023-12-31,$127
2023-09-30,$229
2023-06-30,$209
2023-03-31,$198
2022-12-31,$194
2022-09-30,$237
2022-06-30,$224
2022-03-31,$180
2021-12-31,$166
2021-09-30,$114
2021-06-30,$177
2021-03-31,$160
2020-12-31,$131
2020-09-30,$158
2020-06-30,$-227
2020-03-31,$143
2019-12-31,$133
2019-09-30,$159
2019-06-30,$149
2019-03-31,$126
2018-12-31,$132
2018-09-30,$151
2018-06-30,$139
2018-03-31,$125
2017-12-31,$315
2017-09-30,$123
2017-06-30,$124
2017-03-31,$15
2016-12-31,$86
2016-09-30,$89
2016-06-30,$27
2016-03-31,$45
2015-12-31,$46
2015-09-30,$-257
2015-06-30,$57
2015-03-31,$18
2014-12-31,$19
2014-09-30,$41
2014-06-30,$41
2014-03-31,$26
2013-12-31,$36
2013-09-30,$20
2013-06-30,$32
2013-03-31,$29
2012-12-31,$12
2012-09-30,$32
2012-06-30,$28
2012-03-31,$22
2011-12-31,$-296
2011-09-30,$40
2011-06-30,$37
2011-03-31,$23
2010-12-31,$22
2010-09-30,$24
2010-06-30,$20
2010-03-31,$17
2009-12-31,$10
2009-09-30,$19
2009-06-30,$15
2009-03-31,$10
