Ambarella Quarterly Net Income (Millions of US $),Ambarella Quarterly Net Income (Millions of US $).1
2024-07-31,$-35
2024-04-30,$-38
2024-01-31,$-61
2023-10-31,$-42
2023-07-31,$-31
2023-04-30,$-36
2023-01-31,$-11
2022-10-31,$-20
2022-07-31,$-24
2022-04-30,$-11
2022-01-31,$-9
2021-10-31,$1
2021-07-31,$-7
2021-04-30,$-11
2021-01-31,$-12
2020-10-31,$-17
2020-07-31,$-15
2020-04-30,$-15
2020-01-31,$-13
2019-10-31,$-4
2019-07-31,$-10
2019-04-30,$-17
2019-01-31,$-5
2018-10-31,$-9
2018-07-31,$-7
2018-04-30,$-10
2018-01-31,$1
2017-10-31,$12
2017-07-31,$3
2017-04-30,$3
2017-01-31,$18
2016-10-31,$29
2016-07-31,$9
2016-04-30,$2
2016-01-31,$5
2015-10-31,$29
2015-07-31,$23
2015-04-30,$19
2015-01-31,$18
2014-10-31,$18
2014-07-31,$9
2014-04-30,$5
2014-01-31,$6
2013-10-31,$9
2013-07-31,$6
2013-04-30,$5
2013-01-31,$3
2012-10-31,$3
2012-07-31,$2
2012-04-30,$1
2012-01-31,
2011-10-31,$2
2011-01-31,
