Wolfspeed Quarterly Net Income (Millions of US $),Wolfspeed Quarterly Net Income (Millions of US $).1
2024-06-30,$-175
2024-03-31,$-149
2023-12-31,$-145
2023-09-30,$-396
2023-06-30,$-113
2023-03-31,$-100
2022-12-31,$-91
2022-09-30,$-26
2022-06-30,$32
2022-03-31,$-67
2021-12-31,$-97
2021-09-30,$-70
2021-06-30,$-148
2021-03-31,$-109
2020-12-31,$-83
2020-09-30,$-184
2020-06-30,$-40
2020-03-31,$-60
2019-12-31,$-54
2019-09-30,$-38
2019-06-30,$-134
2019-03-31,$-228
2018-12-31,$-3
2018-09-30,$-11
2018-06-30,$-33
2018-03-31,$-241
2017-12-31,$14
2017-09-30,$-20
2017-06-30,$-6
2017-03-31,$-99
2016-12-31,$6
2016-09-30,$1
2016-06-30,$-11
2016-03-31,$0
2015-12-31,$13
2015-09-30,$-24
2015-06-30,$-88
2015-03-31,$0
2014-12-31,$12
2014-09-30,$11
2014-06-30,$29
2014-03-31,$28
2013-12-31,$36
2013-09-30,$30
2013-06-30,$28
2013-03-31,$22
2012-12-31,$20
2012-09-30,$16
2012-06-30,$10
2012-03-31,$9
2011-12-31,$12
2011-09-30,$13
2011-06-30,$20
2011-03-31,$19
2010-12-31,$50
2010-09-30,$58
2010-06-30,$53
2010-03-31,$45
2009-12-31,$34
2009-09-30,$21
2009-06-30,$10
2009-03-31,$4
