Thor Industries Quarterly Net Income (Millions of US $),Thor Industries Quarterly Net Income (Millions of US $).1
2024-07-31,$90
2024-04-30,$115
2024-01-31,$7
2023-10-31,$54
2023-07-31,$90
2023-04-30,$121
2023-01-31,$27
2022-10-31,$136
2022-07-31,$281
2022-04-30,$348
2022-01-31,$267
2021-10-31,$242
2021-07-31,$230
2021-04-30,$183
2021-01-31,$133
2020-10-31,$114
2020-07-31,$119
2020-04-30,$24
2020-01-31,$29
2019-10-31,$51
2019-07-31,$92
2019-04-30,$33
2019-01-31,$-5
2018-10-31,$14
2018-07-31,$88
2018-04-30,$134
2018-01-31,$80
2017-10-31,$128
2017-07-31,$119
2017-04-30,$111
2017-01-31,$65
2016-10-31,$79
2016-07-31,$83
2016-04-30,$79
2016-01-31,$45
2015-10-31,$50
2015-07-31,$69
2015-04-30,$63
2015-01-31,$29
2014-10-31,$39
2014-07-31,$67
2014-04-30,$55
2014-01-31,$16
2013-10-31,$41
2013-07-31,$58
2013-04-30,$44
2013-01-31,$20
2012-10-31,$31
2012-07-31,$44
2012-04-30,$41
2012-01-31,$14
2011-10-31,$22
2011-07-31,$37
2011-04-30,$40
2011-01-31,$6
2010-10-31,$24
2010-07-31,$41
2010-04-30,$34
2010-01-31,$12
2009-10-31,$23
2009-07-31,$25
2009-04-30,$2
2009-01-31,$-15
