Arbor Realty Trust Quarterly Net Income (Millions of US $),Arbor Realty Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$58
2023-12-31,$92
2023-09-30,$78
2023-06-30,$76
2023-03-31,$84
2022-12-31,$88
2022-09-30,$63
2022-06-30,$70
2022-03-31,$64
2021-12-31,$106
2021-09-30,$73
2021-06-30,$69
2021-03-31,$69
2020-12-31,$97
2020-09-30,$82
2020-06-30,$44
2020-03-31,$-59
2019-12-31,$36
2019-09-30,$34
2019-06-30,$29
2019-03-31,$23
2018-12-31,$37
2018-09-30,$28
2018-06-30,$17
2018-03-31,$26
2017-12-31,$22
2017-09-30,$16
2017-06-30,$12
2017-03-31,$16
2016-12-31,$21
2016-09-30,$11
2016-06-30,$10
2016-03-31,$1
2015-12-31,$5
2015-09-30,$15
2015-06-30,$10
2015-03-31,$15
2014-12-31,$5
2014-09-30,$63
2014-06-30,$11
2014-03-31,$6
2013-12-31,$3
2013-09-30,$4
2013-06-30,$3
2013-03-31,$7
2012-12-31,$-0
2012-09-30,$2
2012-06-30,$16
2012-03-31,$4
2011-12-31,$-28
2011-09-30,$-2
2011-06-30,$-10
2011-03-31,$0
2010-12-31,$-41
2010-09-30,$-1
2010-06-30,$129
2010-03-31,$26
2009-12-31,$-134
2009-09-30,$-44
2009-06-30,$-49
2009-03-31,$-4
