"Compania Cervecerias Unidas, S.A Quarterly Net Income (Millions of US $)","Compania Cervecerias Unidas, S.A Quarterly Net Income (Millions of US $).1"
2024-06-30,$6
2024-03-31,$57
2023-12-31,$50
2023-09-30,$11
2023-06-30,$-5
2023-03-31,$70
2022-12-31,$46
2022-09-30,$19
2022-06-30,$-13
2022-03-31,$77
2021-12-31,$87
2021-09-30,$55
2021-06-30,$27
2021-03-31,$90
2020-12-31,$70
2020-09-30,$16
2020-06-30,$-4
2020-03-31,$43
2019-12-31,$70
2019-09-30,$12
2019-06-30,$27
2019-03-31,$73
2018-12-31,$97
2018-09-30,$32
2018-06-30,$265
2018-03-31,$96
2017-12-31,$81
2017-09-30,$31
2017-06-30,$13
2017-03-31,$70
2016-12-31,$64
2016-09-30,$18
2016-06-30,$9
2016-03-31,$62
2015-12-31,$54
2015-09-30,$31
2015-06-30,$30
2015-03-31,$69
2014-12-31,$70
2014-09-30,$26
2014-06-30,$42
2014-03-31,$74
2013-12-31,$90
2013-09-30,$41
2013-06-30,$32
2013-03-31,$85
2012-12-31,$95
2012-09-30,$36
2012-06-30,$23
2012-03-31,$82
2011-12-31,$87
2011-09-30,$42
2011-06-30,$22
2011-03-31,$69
2010-12-31,$83
2010-09-30,$45
2010-06-30,$30
2010-03-31,$69
2009-12-31,$70
2009-09-30,$33
2009-06-30,$56
2009-03-31,$59
