Take-Two Interactive Software Quarterly Net Income (Millions of US $),Take-Two Interactive Software Quarterly Net Income (Millions of US $).1
2024-06-30,$-262
2024-03-31,"$-2,903"
2023-12-31,$-92
2023-09-30,$-544
2023-06-30,$-206
2023-03-31,$-610
2022-12-31,$-153
2022-09-30,$-257
2022-06-30,$-104
2022-03-31,$111
2021-12-31,$145
2021-09-30,$10
2021-06-30,$152
2021-03-31,$219
2020-12-31,$182
2020-09-30,$99
2020-06-30,$89
2020-03-31,$123
2019-12-31,$164
2019-09-30,$72
2019-06-30,$46
2019-03-31,$57
2018-12-31,$180
2018-09-30,$25
2018-06-30,$72
2018-03-31,$91
2017-12-31,$25
2017-09-30,$-3
2017-06-30,$60
2017-03-31,$100
2016-12-31,$-30
2016-09-30,$36
2016-06-30,$-39
2016-03-31,$46
2015-12-31,$-42
2015-09-30,$55
2015-06-30,$-67
2015-03-31,$-240
2014-12-31,$37
2014-09-30,$-41
2014-06-30,$-35
2014-03-31,$6
2013-12-31,$501
2013-09-30,$-124
2013-06-30,$-62
2013-03-31,$28
2012-12-31,$66
2012-09-30,$-12
2012-06-30,$-111
2012-03-31,$-66
2011-12-31,$13
2011-09-30,$-47
2011-06-30,$-9
2011-03-31,$-18
2010-12-31,$41
2010-09-30,$3
2010-07-31,$6
2010-06-30,$26
2010-04-30,$17
2010-03-31,$-94
2010-01-31,$-34
2009-12-31,$38
2009-10-31,
2009-07-31,$-56
2009-04-30,$-10
2009-01-31,$-50
