Impinj Quarterly Net Income (Millions of US $),Impinj Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$33
2023-12-31,$-15
2023-09-30,$-16
2023-06-30,$-8
2023-03-31,$-4
2022-12-31,$-0
2022-09-30,$-2
2022-06-30,$-12
2022-03-31,$-10
2021-12-31,$-20
2021-09-30,$-13
2021-06-30,$-9
2021-03-31,$-9
2020-12-31,$-16
2020-09-30,$-14
2020-06-30,$-18
2020-03-31,$-4
2019-12-31,$-8
2019-09-30,$-4
2019-06-30,$-4
2019-03-31,$-7
2018-12-31,$-6
2018-09-30,$-7
2018-06-30,$-8
2018-03-31,$-14
2017-12-31,$-9
2017-09-30,$-5
2017-06-30,$-1
2017-03-31,$-2
2016-12-31,$0
2016-09-30,$0
2016-06-30,$-3
2016-03-31,$-5
2015-12-31,$1
2015-09-30,$-3
2015-06-30,$-2
2015-03-31,$-4
2014-12-31,
