Artisan Partners Asset Management Quarterly Net Income (Millions of US $),Artisan Partners Asset Management Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$54
2023-12-31,$55
2023-09-30,$53
2023-06-30,$49
2023-03-31,$46
2022-12-31,$30
2022-09-30,$44
2022-06-30,$44
2022-03-31,$65
2021-12-31,$53
2021-09-30,$86
2021-06-30,$88
2021-03-31,$77
2020-12-31,$80
2020-09-30,$59
2020-06-30,$46
2020-03-31,$28
2019-12-31,$41
2019-09-30,$37
2019-06-30,$34
2019-03-31,$24
2018-12-31,$30
2018-09-30,$38
2018-06-30,$35
2018-03-31,$35
2017-12-31,$-30
2017-09-30,$28
2017-06-30,$20
2017-03-31,$15
2016-12-31,$17
2016-09-30,$16
2016-06-30,$14
2016-03-31,$13
2015-12-31,$18
2015-09-30,$16
2015-06-30,$18
2015-03-31,$14
2014-12-31,$7
2014-09-30,$17
2014-06-30,$12
2014-03-31,$-46
2013-12-31,$-41
2013-09-30,$5
2013-06-30,$5
2013-03-31,$2
2012-12-31,$37
2012-09-30,
2012-06-30,$0
2012-03-31,$4
2011-12-31,
2010-12-31,
2009-12-31,
