Galapagos Quarterly Net Income (Millions of US $),Galapagos Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,$98
2022-12-31,$-216
2022-09-30,$22
2022-06-30,$-20
2022-03-31,$-15
2021-12-31,$20
2021-09-30,$-76
2021-06-30,$-78
2021-03-31,$11
2020-12-31,$-71
2020-09-30,$-96
2020-06-30,$-127
2020-03-31,$-56
2019-12-31,$-126
2019-09-30,$402
2019-06-30,$-53
2019-03-31,$-55
2018-12-31,$20
2018-09-30,$17
2018-06-30,$-26
2018-03-31,$-46
2017-03-31,$-15
2016-03-31,$40
2015-12-31,$-63
2015-09-30,$-30
2015-06-30,$-22
2015-03-31,$-16
2014-12-31,
2014-06-30,
2013-12-31,
2012-12-31,
