Ensign Quarterly Net Income (Millions of US $),Ensign Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$69
2023-12-31,$22
2023-09-30,$64
2023-06-30,$64
2023-03-31,$60
2022-12-31,$60
2022-09-30,$56
2022-06-30,$58
2022-03-31,$50
2021-12-31,$49
2021-09-30,$47
2021-06-30,$49
2021-03-31,$49
2020-12-31,$46
2020-09-30,$43
2020-06-30,$40
2020-03-31,$41
2019-12-31,$27
2019-09-30,$27
2019-06-30,$29
2019-03-31,$27
2018-12-31,$26
2018-09-30,$21
2018-06-30,$22
2018-03-31,$23
2017-12-31,$11
2017-09-30,$14
2017-06-30,$12
2017-03-31,$3
2016-12-31,$18
2016-09-30,$11
2016-06-30,$11
2016-03-31,$9
2015-12-31,$14
2015-09-30,$13
2015-06-30,$13
2015-03-31,$15
2014-12-31,$12
2014-09-30,$9
2014-06-30,$2
2014-03-31,$14
2013-12-31,$13
2013-09-30,$10
2013-06-30,$12
2013-03-31,$-12
2012-12-31,$2
2012-09-30,$13
2012-06-30,$12
2012-03-31,$13
2011-12-31,$10
2011-09-30,$12
2011-06-30,$13
2011-03-31,$13
2010-12-31,$12
2010-09-30,$10
2010-06-30,$10
2010-03-31,$9
2009-12-31,$9
2009-09-30,$8
2009-06-30,$8
2009-03-31,$8
