Carpenter Technology Quarterly Net Income (Millions of US $),Carpenter Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$93
2024-03-31,$6
2023-12-31,$43
2023-09-30,$44
2023-06-30,$38
2023-03-31,$19
2022-12-31,$6
2022-09-30,$-7
2022-06-30,$3
2022-03-31,$-8
2021-12-31,$-29
2021-09-30,$-15
2021-06-30,$-58
2021-03-31,$-41
2020-12-31,$-85
2020-09-30,$-47
2020-06-30,$-118
2020-03-31,$40
2019-12-31,$38
2019-09-30,$41
2019-06-30,$48
2019-03-31,$51
2018-12-31,$35
2018-09-30,$31
2018-06-30,$42
2018-03-31,$30
2017-12-31,$91
2017-09-30,$23
2017-06-30,$25
2017-03-31,$21
2016-12-31,$7
2016-09-30,$-6
2016-06-30,$15
2016-03-31,$-24
2015-12-31,$12
2015-09-30,$9
2015-06-30,$23
2015-03-31,$-1
2014-12-31,$24
2014-09-30,$14
2014-06-30,$38
2014-03-31,$31
2013-12-31,$30
2013-09-30,$35
2013-06-30,$42
2013-03-31,$33
2012-12-31,$33
2012-09-30,$39
2012-06-30,$42
2012-03-31,$33
2011-12-31,$23
2011-09-30,$24
2011-06-30,$25
2011-03-31,$28
2010-12-31,$9
2010-09-30,$8
2010-06-30,$6
2010-03-31,$2
2009-12-31,$3
2009-09-30,$-9
2009-06-30,$-21
2009-03-31,$13
