OSI Systems Quarterly Net Income (Millions of US $),OSI Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$34
2023-12-31,$37
2023-09-30,$13
2023-06-30,$42
2023-03-31,$22
2022-12-31,$16
2022-09-30,$11
2022-06-30,$34
2022-03-31,$43
2021-12-31,$20
2021-09-30,$19
2021-06-30,$26
2021-03-31,$19
2020-12-31,$20
2020-09-30,$9
2020-06-30,$14
2020-03-31,$20
2019-12-31,$21
2019-09-30,$21
2019-06-30,$17
2019-03-31,$20
2018-12-31,$19
2018-09-30,$9
2018-06-30,$5
2018-03-31,$3
2017-12-31,$-47
2017-09-30,$10
2017-06-30,$2
2017-03-31,$14
2016-12-31,$5
2016-09-30,$1
2016-06-30,$6
2016-03-31,$9
2015-12-31,$0
2015-09-30,$11
2015-06-30,$22
2015-03-31,$13
2014-12-31,$18
2014-09-30,$11
2014-06-30,$22
2014-03-31,$5
2013-12-31,$15
2013-09-30,$6
2013-06-30,$12
2013-03-31,$14
2012-12-31,$12
2012-09-30,$6
2012-06-30,$16
2012-03-31,$13
2011-12-31,$12
2011-09-30,$5
2011-06-30,$12
2011-03-31,$9
2010-12-31,$9
2010-09-30,$3
2010-06-30,$8
2010-03-31,$6
2009-12-31,$7
2009-09-30,$3
2009-06-30,$4
2009-03-31,$3
