"Banco Santander, S.A Quarterly Net Income (Millions of US $)","Banco Santander, S.A Quarterly Net Income (Millions of US $).1"
2024-06-30,"$3,454"
2024-03-31,"$2,918"
2023-12-31,"$2,749"
2023-09-30,"$3,159"
2023-06-30,"$2,911"
2023-03-31,"$2,636"
2022-12-31,"$1,767"
2022-09-30,"$2,439"
2022-06-30,"$2,502"
2022-03-31,"$2,854"
2021-12-31,"$2,619"
2021-09-30,"$2,564"
2021-06-30,"$2,491"
2021-03-31,"$1,939"
2020-09-30,"$2,046"
2020-03-31,$365
2019-06-30,"$1,563"
2019-03-31,"$1,922"
2018-12-31,"$1,699"
2018-09-30,"$2,314"
2018-06-30,"$2,025"
2018-03-31,"$2,525"
2017-12-31,"$1,417"
2017-09-30,"$1,717"
2017-06-30,"$1,912"
2017-03-31,"$1,990"
2016-12-31,"$1,359"
2016-09-30,"$1,892"
2016-06-30,"$1,444"
2016-03-31,"$1,802"
2015-12-31,"$1,599"
2015-09-30,"$1,869"
2015-06-30,"$1,891"
2015-03-31,"$1,865"
2014-12-31,"$1,650"
2014-09-30,"$2,015"
2014-06-30,"$1,947"
2014-03-31,"$1,804"
2013-12-31,"$1,443"
2013-09-30,"$1,457"
2013-06-30,"$1,390"
2013-03-31,"$1,592"
2012-12-31,$516
2012-09-30,$100
2012-06-30,$129
2012-03-31,"$2,103"
2011-12-31,$62
2011-09-30,"$2,553"
2011-06-30,"$2,012"
2011-03-31,"$2,882"
2010-12-31,"$2,601"
2010-09-30,"$2,109"
2010-06-30,"$2,845"
2010-03-31,"$2,922"
2009-12-31,"$3,074"
2009-09-30,"$3,300"
2009-06-30,"$3,300"
2009-03-31,"$2,742"
