"America Movil, S.A.B De C.V Quarterly Net Income (Millions of US $)","America Movil, S.A.B De C.V Quarterly Net Income (Millions of US $).1"
2024-03-31,$795
2023-12-31,"$1,306"
2023-09-30,$119
2023-06-30,"$1,465"
2023-03-31,"$1,616"
2022-09-30,$888
2022-03-31,"$1,503"
2021-12-31,"$6,328"
2021-09-30,$791
2021-06-30,"$2,141"
2021-03-31,$89
2020-12-31,"$2,118"
2020-09-30,$854
2020-06-30,$861
2020-03-31,"$-1,484"
2019-12-31,"$1,174"
2019-09-30,$671
2019-06-30,$736
2019-03-31,"$1,013"
2018-12-31,$734
2018-09-30,"$1,001"
2018-06-30,$-12
2018-03-31,$948
2017-09-30,$142
2016-06-30,$426
2015-09-30,$-644
2015-06-30,$917
2014-06-30,"$1,450"
2013-06-30,"$1,140"
2013-03-31,"$2,200"
2012-12-31,"$1,175"
2012-09-30,"$2,356"
2012-06-30,$983
2012-03-31,"$2,482"
2011-12-31,"$1,270"
2011-09-30,"$1,414"
2011-06-30,"$2,053"
2011-03-31,"$1,949"
2010-12-31,"$1,963"
2010-09-30,"$1,831"
2010-06-30,"$1,499"
2010-03-31,"$1,364"
2009-12-31,$998
2009-09-30,"$1,420"
2009-06-30,"$1,688"
2009-03-31,"$1,145"
