Bloom Energy Quarterly Net Income (Millions of US $),Bloom Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-62
2024-03-31,$-58
2023-12-31,$5
2023-09-30,$-169
2023-06-30,$-66
2023-03-31,$-72
2022-12-31,$-47
2022-09-30,$-57
2022-06-30,$-119
2022-03-31,$-78
2021-12-31,$-33
2021-09-30,$-52
2021-06-30,$-54
2021-03-31,$-25
2020-12-31,$-27
2020-09-30,$-12
2020-06-30,$-43
2020-03-31,$-76
2019-12-31,$-68
2019-09-30,$-52
2019-06-30,$-82
2019-03-31,$-105
2018-12-31,$-132
2018-09-30,$-79
2018-06-30,$-46
2018-03-31,$-18
2017-12-31,$-82
2017-09-30,$-72
2017-06-30,$-63
2017-03-31,$-60
2016-12-31,
