CNA Financial Quarterly Net Income (Millions of US $),CNA Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$317
2024-03-31,$338
2023-12-31,$367
2023-09-30,$258
2023-06-30,$283
2023-03-31,$297
2022-12-31,$239
2022-09-30,$-42
2022-06-30,$190
2022-03-31,$295
2021-12-31,$248
2021-09-30,$256
2021-06-30,$368
2021-03-31,$312
2020-12-31,$387
2020-09-30,$213
2020-06-30,$151
2020-03-31,$-61
2019-12-31,$273
2019-09-30,$107
2019-06-30,$278
2019-03-31,$342
2018-12-31,$-84
2018-09-30,$336
2018-06-30,$270
2018-03-31,$291
2017-12-31,$223
2017-09-30,$144
2017-06-30,$272
2017-03-31,$260
2016-12-31,$241
2016-09-30,$343
2016-06-30,$209
2016-03-31,$66
2015-12-31,$-70
2015-09-30,$178
2015-06-30,$138
2015-03-31,$233
2014-12-31,$198
2014-09-30,$213
2014-06-30,$267
2014-03-31,$13
2013-12-31,$221
2013-09-30,$272
2013-06-30,$194
2013-03-31,$250
2012-12-31,$-9
2012-09-30,$221
2012-06-30,$166
2012-03-31,$250
2011-12-31,$193
2011-09-30,$75
2011-06-30,$124
2011-03-31,$220
2010-12-31,$227
2010-09-30,$-140
2010-06-30,$283
2010-03-31,$245
2009-12-31,$277
2009-09-30,$263
2009-06-30,$105
2009-03-31,$-226
