ADT Quarterly Net Income (Millions of US $),ADT Quarterly Net Income (Millions of US $).1
2024-06-30,$92
2024-03-31,$92
2023-12-31,$576
2023-09-30,$-86
2023-06-30,$92
2023-03-31,$-119
2022-12-31,$151
2022-09-30,$-161
2022-06-30,$92
2022-03-31,$52
2021-12-31,$-58
2021-09-30,$-109
2021-06-30,$-126
2021-03-31,$-48
2020-12-31,$-112
2020-09-30,$-113
2020-06-30,$-107
2020-03-31,$-300
2019-12-31,$-72
2019-09-30,$-182
2019-06-30,$-104
2019-03-31,$-66
2018-12-31,$-149
2018-09-30,$-236
2018-06-30,$-67
2018-03-31,$-157
2017-12-31,$638
2017-09-30,$-62
2017-06-30,$-93
2017-03-31,$-141
2016-12-31,
2015-12-31,
2014-12-31,
