Oshkosh Quarterly Net Income (Millions of US $),Oshkosh Quarterly Net Income (Millions of US $).1
2024-06-30,$169
2024-03-31,$179
2023-12-31,$151
2023-09-30,$184
2023-06-30,$175
2023-03-31,$89
2022-12-31,$75
2022-09-30,$67
2022-06-30,$32
2022-03-31,$-0
2021-12-31,$106
2021-09-30,$90
2021-06-30,$214
2021-03-31,$100
2020-12-31,$70
2020-09-30,
2020-06-30,$80
2020-03-31,$69
2019-12-31,$76
2019-09-30,
2019-06-30,$192
2019-03-31,$129
2018-12-31,$109
2018-09-30,
2018-06-30,$153
2018-03-31,$111
2017-12-31,$56
2017-09-30,
2017-06-30,$129
2017-03-31,$44
2016-12-31,$19
2016-09-30,
2016-06-30,$84
2016-03-31,$56
2015-12-31,$15
2015-09-30,
2015-06-30,$90
2015-03-31,$55
2014-12-31,$35
2014-09-30,
2014-06-30,$105
2014-03-31,$71
2013-12-31,$55
2013-09-30,
2013-06-30,$148
2013-03-31,$87
2012-12-31,$46
2012-09-30,
2012-06-30,$76
2012-03-31,$37
2011-12-31,$39
2011-09-30,
2011-06-30,$68
2011-03-31,$68
2010-12-31,$100
2010-09-30,
2010-06-30,$211
2010-03-31,$293
2009-12-31,$170
2009-09-30,
2009-06-30,$-27
2009-03-31,"$-1,192"
