CBIZ Quarterly Net Income (Millions of US $),CBIZ Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$77
2023-12-31,$-13
2023-09-30,$34
2023-06-30,$27
2023-03-31,$73
2022-12-31,$-11
2022-09-30,$27
2022-06-30,$31
2022-03-31,$58
2021-12-31,$-10
2021-09-30,$22
2021-06-30,$9
2021-03-31,$50
2020-12-31,$-0
2020-09-30,$20
2020-06-30,$21
2020-03-31,$37
2019-12-31,$-1
2019-09-30,$18
2019-06-30,$17
2019-03-31,$37
2018-12-31,$-1
2018-09-30,$14
2018-06-30,$13
2018-03-31,$36
2017-12-31,$5
2017-09-30,$10
2017-06-30,$11
2017-03-31,$25
2016-12-31,$-1
2016-09-30,$11
2016-06-30,$8
2016-03-31,$22
2015-12-31,$-2
2015-09-30,$10
2015-06-30,$7
2015-03-31,$19
2014-12-31,$-1
2014-09-30,$8
2014-06-30,$6
2014-03-31,$17
2013-12-31,$-4
2013-09-30,$62
2013-06-30,$9
2013-03-31,$18
2012-12-31,$1
2012-09-30,$5
2012-06-30,$6
2012-03-31,$19
2011-12-31,$-1
2011-09-30,$5
2011-06-30,$7
2011-03-31,$18
2010-12-31,$-2
2010-09-30,$5
2010-06-30,$5
2010-03-31,$16
2009-12-31,$1
2009-09-30,$5
2009-06-30,$7
2009-03-31,$18
