Old Republic Quarterly Net Income (Millions of US $),Old Republic Quarterly Net Income (Millions of US $).1
2024-06-30,$92
2024-03-31,$317
2023-12-31,$191
2023-09-30,$53
2023-06-30,$156
2023-03-31,$200
2022-12-31,$512
2022-09-30,$-92
2022-06-30,$-40
2022-03-31,$306
2021-12-31,$627
2021-09-30,$89
2021-06-30,$316
2021-03-31,$502
2020-12-31,$520
2020-09-30,$246
2020-06-30,$398
2020-03-31,$-605
2019-12-31,$276
2019-09-30,$203
2019-06-30,$166
2019-03-31,$412
2018-12-31,$-106
2018-09-30,$275
2018-06-30,$198
2018-03-31,$4
2017-12-31,$300
2017-09-30,$46
2017-06-30,$102
2017-03-31,$113
2016-12-31,$132
2016-09-30,$111
2016-06-30,$101
2016-03-31,$123
2015-12-31,$91
2015-09-30,$126
2015-06-30,$102
2015-03-31,$103
2014-12-31,$63
2014-09-30,$86
2014-06-30,$66
2014-03-31,$194
2013-12-31,$95
2013-09-30,$103
2013-06-30,$194
2013-03-31,$56
2012-12-31,$-20
2012-09-30,$-15
2012-06-30,$-34
2012-03-31,$0
2011-12-31,$55
2011-09-30,$-117
2011-06-30,$-66
2011-03-31,$-13
2010-12-31,$-13
2010-09-30,$-39
2010-06-30,$57
2010-03-31,$25
2009-12-31,$-37
2009-09-30,$7
2009-06-30,$-16
2009-03-31,$-54
