Restaurant Brands Quarterly Net Income (Millions of US $),Restaurant Brands Quarterly Net Income (Millions of US $).1
2024-06-30,$280
2024-03-31,$230
2023-12-31,$508
2023-09-30,$252
2023-06-30,$241
2023-03-31,$189
2022-12-31,$229
2022-09-30,$360
2022-06-30,$236
2022-03-31,$183
2021-12-31,$179
2021-09-30,$221
2021-06-30,$259
2021-03-31,$179
2020-12-31,$34
2020-09-30,$145
2020-06-30,$163
2020-03-31,$144
2019-12-31,$165
2019-09-30,$201
2019-06-30,$142
2019-03-31,$135
2018-12-31,$163
2018-09-30,$134
2018-06-30,$167
2018-03-31,$148
2017-12-31,$395
2017-09-30,$91
2017-06-30,$90
2017-03-31,$50
2016-12-31,$118
2016-09-30,$86
2016-06-30,$91
2016-03-31,$50
2015-12-31,$52
2015-09-30,$50
2015-06-30,$11
2015-03-31,$-8
2014-12-31,$46
2014-09-30,$-24
2014-06-30,$75
2014-03-31,$60
2013-12-31,
2012-12-31,
