Mattel Quarterly Net Income (Millions of US $),Mattel Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$-28
2023-12-31,$147
2023-09-30,$146
2023-06-30,$27
2023-03-31,$-106
2022-12-31,$16
2022-09-30,$290
2022-06-30,$66
2022-03-31,$21
2021-12-31,$226
2021-09-30,$795
2021-06-30,$-6
2021-03-31,$-112
2020-12-31,$134
2020-09-30,$311
2020-06-30,$-111
2020-03-31,$-211
2019-12-31,$-5
2019-09-30,$71
2019-06-30,$-108
2019-03-31,$-176
2018-12-31,$13
2018-09-30,$6
2018-06-30,$-241
2018-03-31,$-311
2017-12-31,$-282
2017-09-30,$-603
2017-06-30,$-56
2017-03-31,$-113
2016-12-31,$169
2016-09-30,$236
2016-06-30,$-19
2016-03-31,$-73
2015-12-31,$215
2015-09-30,$224
2015-06-30,$-11
2015-03-31,$-58
2014-12-31,$153
2014-09-30,$329
2014-06-30,$28
2014-03-31,$-11
2013-12-31,$365
2013-09-30,$419
2013-06-30,$73
2013-03-31,$38
2012-12-31,$303
2012-09-30,$363
2012-06-30,$95
2012-03-31,$8
2011-12-31,$366
2011-09-30,$298
2011-06-30,$79
2011-03-31,$16
2010-12-31,$321
2010-09-30,$280
2010-06-30,$51
2010-03-31,$25
2009-12-31,$325
2009-09-30,$227
2009-06-30,$21
2009-03-31,$-51
