Lucid Quarterly Net Income (Millions of US $),Lucid Quarterly Net Income (Millions of US $).1
2024-06-30,$-790
2024-03-31,$-685
2023-12-31,$-654
2023-09-30,$-631
2023-06-30,$-764
2023-03-31,$-780
2022-12-31,$-473
2022-09-30,$-530
2022-06-30,$-220
2022-03-31,$-81
2021-12-31,"$-1,046"
2021-09-30,$-524
2021-06-30,$-262
2021-03-31,"$-2,915"
2020-12-31,
2020-09-30,$-161
2020-06-30,$-0
2019-12-31,
