Scorpio Tankers Quarterly Net Income (Millions of US $),Scorpio Tankers Quarterly Net Income (Millions of US $).1
2024-06-30,$227
2024-03-31,$214
2023-12-31,$121
2023-09-30,$100
2023-06-30,$132
2023-03-31,$193
2022-12-31,$264
2022-09-30,$266
2022-06-30,$191
2022-03-31,$-84
2021-12-31,$-46
2021-09-30,$-73
2021-06-30,$-53
2021-03-31,$-62
2020-12-31,$-76
2020-09-30,$-20
2020-06-30,$144
2020-03-31,$47
2019-12-31,$12
2019-09-30,$-45
2019-06-30,$-30
2019-03-31,$14
2018-12-31,$-18
2018-09-30,$-72
2018-06-30,$-69
2018-03-31,$-32
2017-12-31,$-42
2017-09-30,$-37
2017-06-30,$-68
2017-03-31,$-12
2016-12-31,$-30
2016-09-30,$-27
2016-06-30,$4
2016-03-31,$28
2015-12-31,$34
2015-09-30,$85
2015-06-30,$58
2015-03-31,$41
2014-12-31,$0
2014-09-30,$-1
2014-06-30,$-1
2014-03-31,$53
2013-12-31,$6
2013-09-30,$1
2013-06-30,$4
2013-03-31,$7
2012-12-31,$-5
2012-09-30,$-13
2012-06-30,$-4
2012-03-31,$-5
2011-12-31,$-72
2011-09-30,$-7
2011-06-30,$-3
2011-03-31,$-1
2010-12-31,$-3
2010-09-30,$-2
2010-06-30,$0
2010-03-31,$1
2009-12-31,$2
2009-09-30,$-3
2009-06-30,$2
2009-03-31,$3
