AppFolio Quarterly Net Income (Millions of US $),AppFolio Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$39
2023-12-31,$30
2023-09-30,$26
2023-06-30,$-19
2023-03-31,$-35
2022-12-31,$-20
2022-09-30,$-4
2022-06-30,$-30
2022-03-31,$-14
2021-12-31,$-1
2021-09-30,$-0
2021-06-30,$2
2021-03-31,$0
2020-12-31,$-1
2020-09-30,$138
2020-06-30,$19
2020-03-31,$2
2019-12-31,$4
2019-09-30,$5
2019-06-30,$23
2019-03-31,$4
2018-12-31,$3
2018-09-30,$6
2018-06-30,$7
2018-03-31,$4
2017-12-31,$3
2017-09-30,$4
2017-06-30,$3
2017-03-31,$1
2016-12-31,$-1
2016-09-30,$-1
2016-06-30,$-2
2016-03-31,$-4
2015-12-31,$-4
2015-09-30,$-5
2015-06-30,$-3
2015-03-31,$-4
2014-12-31,$-5
2014-09-30,$-1
2014-06-30,$-2
2014-03-31,$-1
2013-12-31,
