CarGurus Quarterly Net Income (Millions of US $),CarGurus Quarterly Net Income (Millions of US $).1
2024-06-30,$-69
2024-03-31,$21
2023-12-31,$-24
2023-09-30,$22
2023-06-30,$16
2023-03-31,$16
2022-12-31,$159
2022-09-30,$107
2022-06-30,$-10
2022-03-31,$-62
2021-12-31,$-80
2021-09-30,$29
2021-06-30,$28
2021-03-31,$22
2020-12-31,$25
2020-09-30,$33
2020-06-30,$7
2020-03-31,$13
2019-12-31,$13
2019-09-30,$10
2019-06-30,$6
2019-03-31,$13
2018-12-31,$12
2018-09-30,$14
2018-06-30,$33
2018-03-31,$5
2017-12-31,$3
2017-09-30,$1
2017-06-30,$2
2017-03-31,$2
2016-12-31,
2016-09-30,$1
2015-12-31,
