Republic Bancorp Quarterly Net Income (Millions of US $),Republic Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$25
2024-03-31,$31
2023-12-31,$20
2023-09-30,$22
2023-06-30,$21
2023-03-31,$28
2022-12-31,$19
2022-09-30,$20
2022-06-30,$24
2022-03-31,$28
2021-12-31,$18
2021-09-30,$20
2021-06-30,$24
2021-03-31,$26
2020-12-31,$20
2020-09-30,$20
2020-06-30,$16
2020-03-31,$27
2019-12-31,$26
2019-09-30,$18
2019-06-30,$18
2019-03-31,$30
2018-12-31,$17
2018-09-30,$17
2018-06-30,$16
2018-03-31,$27
2017-12-31,$5
2017-09-30,$11
2017-06-30,$10
2017-03-31,$20
2016-12-31,$10
2016-09-30,$10
2016-06-30,$8
2016-03-31,$18
2015-12-31,$7
2015-09-30,$6
2015-06-30,$8
2015-03-31,$14
2014-12-31,$5
2014-09-30,$5
2014-06-30,$6
2014-03-31,$12
2013-12-31,$1
2013-09-30,$5
2013-06-30,$6
2013-03-31,$13
2012-12-31,$7
2012-09-30,$21
2012-06-30,$10
2012-03-31,$82
2011-12-31,$6
2011-09-30,$8
2011-06-30,$9
2011-03-31,$71
2010-12-31,$4
2010-09-30,$7
2010-06-30,$8
2010-03-31,$45
2009-12-31,$4
2009-09-30,$6
2009-06-30,$7
2009-03-31,$26
