Sea Quarterly Net Income (Millions of US $),Sea Quarterly Net Income (Millions of US $).1
2024-06-30,$80
2024-03-31,$-24
2023-12-31,$-124
2023-09-30,$-144
2023-06-30,$331
2023-03-31,$88
2022-12-31,$429
2022-09-30,$-569
2022-06-30,$-931
2022-03-31,$-580
2021-12-31,$-620
2021-09-30,$-571
2021-06-30,$-433
2021-03-31,$-423
2020-12-31,$-518
2020-09-30,$-425
2020-06-30,$-393
2020-03-31,$-282
2019-12-31,$-316
2019-09-30,
2019-06-30,$-280
2019-03-31,$-690
2018-12-31,$-277
2018-09-30,$-218
2018-06-30,$-251
2018-03-31,$-216
2017-12-31,$-262
2017-09-30,$-133
2017-06-30,$-92
2017-03-31,$-73
2016-12-31,
2016-09-30,$-65
2015-12-31,
