Smartsheet Quarterly Net Income (Millions of US $),Smartsheet Quarterly Net Income (Millions of US $).1
2024-07-31,$8
2024-04-30,$-9
2024-01-31,$-9
2023-10-31,$-32
2023-07-31,$-33
2023-04-30,$-30
2023-01-31,$-43
2022-10-31,$-40
2022-07-31,$-62
2022-04-30,$-70
2022-01-31,$-53
2021-10-31,$-37
2021-07-31,$-44
2021-04-30,$-37
2021-01-31,$-29
2020-10-31,$-32
2020-07-31,$-27
2020-04-30,$-28
2020-01-31,$-28
2019-10-31,$-29
2019-07-31,$-19
2019-04-30,$-20
2019-01-31,$-12
2018-10-31,$-16
2018-07-31,$-12
2018-04-30,$-14
2018-01-31,$-9
2017-10-31,$-10
2017-07-31,$-27
2017-04-30,$-7
2017-01-31,
2016-01-31,
