Cabot Quarterly Net Income (Millions of US $),Cabot Quarterly Net Income (Millions of US $).1
2024-06-30,$108
2024-03-31,$84
2023-12-31,$50
2023-09-30,$235
2023-06-30,$81
2023-03-31,$75
2022-12-31,$54
2022-09-30,$94
2022-06-30,$97
2022-03-31,$107
2021-12-31,$-89
2021-09-30,$29
2021-06-30,$86
2021-03-31,$75
2020-12-31,$60
2020-09-30,$-272
2020-06-30,$-6
2020-03-31,$-1
2019-12-31,$41
2019-09-30,$33
2019-06-30,$32
2019-03-31,$23
2018-12-31,$69
2018-09-30,$93
2018-06-30,$88
2018-03-31,$-173
2017-12-31,$-122
2017-09-30,$72
2017-06-30,$47
2017-03-31,$74
2016-12-31,$55
2016-09-30,$49
2016-06-30,$56
2016-03-31,$48
2015-12-31,$-7
2015-09-30,$40
2015-06-30,$-445
2015-03-31,$26
2014-12-31,$45
2014-09-30,$31
2014-06-30,$52
2014-03-31,$36
2013-12-31,$80
2013-09-30,$47
2013-06-30,$58
2013-03-31,$27
2012-12-31,$20
2012-09-30,$33
2012-06-30,$66
2012-03-31,$240
2011-12-31,$46
2011-09-30,$47
2011-06-30,$60
2011-03-31,$51
2010-12-31,$75
2010-09-30,$32
2010-06-30,$47
2010-03-31,$43
2009-12-31,$29
2009-09-30,$-11
2009-06-30,$-12
2009-03-31,$-58
